name;percent_change;values
Zypto;30d;38.2045743
Zypto;60d;4.68560215
Zypto;90d;-45.33920116
pSTAKE Finance;1h;-2.58632726
pSTAKE Finance;24h;3.67166545
pSTAKE Finance;7d;-3.06671791
pSTAKE Finance;30d;-19.21884009
pSTAKE Finance;60d;-49.85624682
pSTAKE Finance;90d;-56.21348619
AS Roma Fan Token;1h;0.19762057
AS Roma Fan Token;24h;3.07673085
AS Roma Fan Token;7d;-0.26362732
AS Roma Fan Token;30d;-16.00142473
AS Roma Fan Token;60d;-30.65760732
AS Roma Fan Token;90d;-33.21052051
Hive AI;1h;-3.04758049
Hive AI;24h;0.60998861
Hive AI;7d;17.88392353
Hive AI;30d;-55.58862669
Hive AI;60d;-90.29843788
Hive AI;90d;-81.84097935
Cakepie;1h;0.0
Cakepie;24h;0.0
Cakepie;7d;0.0
Cakepie;30d;-42.60497717
Cakepie;60d;-60.86010302
Cakepie;90d;-69.92839178
KardiaChain;1h;-7.82550909
KardiaChain;24h;-61.52674317
KardiaChain;7d;41.82904596
KardiaChain;30d;19.02036766
KardiaChain;60d;2.27961036
KardiaChain;90d;-36.12540241
STUFF.io;1h;0.03567204
STUFF.io;24h;0.74905594
STUFF.io;7d;-2.73584593
STUFF.io;30d;-27.11482654
STUFF.io;60d;-53.28477107
STUFF.io;90d;-47.81374111
NuNet;1h;-0.65148405
NuNet;24h;-0.55079257
NuNet;7d;2.3997335
NuNet;30d;-16.85536281
NuNet;60d;-51.80221542
NuNet;90d;-57.8422177
KONET;1h;1.36219169
KONET;24h;6.77228147
KONET;7d;-12.0310083
KONET;30d;-26.09837902
KONET;60d;-38.38403724
KONET;90d;-46.98274784
Augur;1h;-0.46571369
Augur;24h;-1.38518007
Augur;7d;48.96281674
Augur;30d;20.5338731
Augur;60d;30.68880483
Augur;90d;32.17996822
Koinos;1h;-0.07592348
Koinos;24h;0.73802046
Koinos;7d;47.57668346
Koinos;30d;-19.12700895
Koinos;60d;-54.6060886
Koinos;90d;-54.30891867
Dvision Network;1h;-0.40991444
Dvision Network;24h;0.92753563
Dvision Network;7d;6.77580173
Dvision Network;30d;-24.5714172
Dvision Network;60d;-34.16260171
Dvision Network;90d;-30.91743886
Aurory;1h;-0.08551963
Aurory;24h;0.31436508
Aurory;7d;-0.45610816
Aurory;30d;-9.15851177
Aurory;60d;-39.01829318
Aurory;90d;-50.61721769
Polytrade;1h;0.46563705
Polytrade;24h;3.47200723
Polytrade;7d;6.99987178
Polytrade;30d;-54.61864209
Polytrade;60d;-56.59185293
Polytrade;90d;-61.32982156
ChangeNOW Token;1h;4.07114219
ChangeNOW Token;24h;7.63450388
ChangeNOW Token;7d;19.36900628
ChangeNOW Token;30d;-9.17996742
ChangeNOW Token;60d;-23.48087679
ChangeNOW Token;90d;-32.2462634
SaitaChain Coin;1h;-1.65599357
SaitaChain Coin;24h;1.5990994
SaitaChain Coin;7d;35.69365701
SaitaChain Coin;30d;-12.27708844
SaitaChain Coin;60d;-27.97084234
SaitaChain Coin;90d;-11.73981315
UniLend;1h;-1.07991559
UniLend;24h;1.41590726
UniLend;7d;-2.21705962
UniLend;30d;-45.65489212
UniLend;60d;-66.61068436
UniLend;90d;-64.63260128
Hoppy;1h;-2.30690781
Hoppy;24h;-1.62284425
Hoppy;7d;16.11875812
Hoppy;30d;-52.05753053
Hoppy;60d;-65.46757541
Hoppy;90d;-82.99323876
Bad Idea AI;1h;-1.03124435
Bad Idea AI;24h;4.18237069
Bad Idea AI;7d;0.15062314
Bad Idea AI;30d;-63.50051192
Bad Idea AI;60d;-3.61049707
Bad Idea AI;90d;-35.47656349
Swarm;1h;-0.92146666
Swarm;24h;2.32881368
Swarm;7d;9.15787228
Swarm;30d;-59.63933448
Swarm;60d;-57.09761579
Swarm;90d;-55.01181688
WAGMI Games;1h;-3.17234045
WAGMI Games;24h;0.99494499
WAGMI Games;7d;19.62907363
WAGMI Games;30d;-28.90498774
WAGMI Games;60d;-44.89490759
WAGMI Games;90d;-65.3389733
Atletico De Madrid Fan Token;1h;-0.65436416
Atletico De Madrid Fan Token;24h;1.37923127
Atletico De Madrid Fan Token;7d;1.71431052
Atletico De Madrid Fan Token;30d;-19.04979968
Atletico De Madrid Fan Token;60d;-34.86276804
Atletico De Madrid Fan Token;90d;-36.08005647
Coinweb;1h;4.67755181
Coinweb;24h;14.23063587
Coinweb;7d;7.16855098
Coinweb;30d;-17.86793805
Coinweb;60d;-10.29850026
Coinweb;90d;-29.20341865
Super Champs;1h;-0.60972025
Super Champs;24h;-6.201761
Super Champs;7d;9.19318511
Super Champs;30d;-50.48045924
Super Champs;60d;-81.79215434
Super Champs;90d;-89.10469714
Butthole Coin;1h;-3.30454108
Butthole Coin;24h;4.35871634
Butthole Coin;7d;-29.28093272
Butthole Coin;30d;-10.76381086
Butthole Coin;60d;-75.28920173
Butthole Coin;90d;-79.8613874
SquidGrow;1h;0.0852034
SquidGrow;24h;5.4263624
SquidGrow;7d;-2.97271996
SquidGrow;30d;-22.94833465
SquidGrow;60d;-52.98232364
SquidGrow;90d;-75.32953406
AirSwap;1h;-0.28837743
AirSwap;24h;-1.29285858
AirSwap;7d;1.6044454
AirSwap;30d;-36.57329709
AirSwap;60d;-48.98245051
AirSwap;90d;-49.35672028
Phantasma;1h;-0.23539713
Phantasma;24h;-4.8093778
Phantasma;7d;-12.39857329
Phantasma;30d;-21.01628865
Phantasma;60d;-5.65420303
Phantasma;90d;-31.30622628
VaderAI by Virtuals;1h;4.38691058
VaderAI by Virtuals;24h;12.86106058
VaderAI by Virtuals;7d;15.15151222
VaderAI by Virtuals;30d;-56.56563186
VaderAI by Virtuals;60d;-88.31470227
VaderAI by Virtuals;90d;-67.55571938
HI;1h;0.25896651
HI;24h;-0.14979269
HI;7d;-2.28450014
HI;30d;-15.92694252
HI;60d;-33.451675
HI;90d;-42.03851193
Akuma Inu;1h;0.67272145
Akuma Inu;24h;18.14266971
Akuma Inu;7d;56.84337794
Akuma Inu;30d;-74.73758039
Akuma Inu;60d;-97.81807532
Akuma Inu;90d;-95.32792095
WazirX;1h;-1.54423818
WazirX;24h;-0.00579397
WazirX;7d;4.38705843
WazirX;30d;-11.14614065
WazirX;60d;-20.41409721
WazirX;90d;-73.81987119
Moon Tropica;1h;0.00786993
Moon Tropica;24h;10.46099028
Moon Tropica;7d;48.92326602
Moon Tropica;30d;-23.56226659
Moon Tropica;60d;-58.28796178
Moon Tropica;90d;-79.21610441
Thala;1h;-0.26330862
Thala;24h;2.46801841
Thala;7d;-10.45267738
Thala;30d;-23.18337473
Thala;60d;-47.00466265
Thala;90d;-66.79295159
Trias Token (New);1h;-0.29385124
Trias Token (New);24h;1.10188536
Trias Token (New);7d;-1.1603689
Trias Token (New);30d;-40.30765158
Trias Token (New);60d;-36.61821841
Trias Token (New);90d;-55.26311866
Steem Dollars;1h;1.18020012
Steem Dollars;24h;-0.03933621
Steem Dollars;7d;11.42907359
Steem Dollars;30d;86.70711394
Steem Dollars;60d;-84.89389903
Steem Dollars;90d;-73.04359157
Adappter Token;1h;-2.17115075
Adappter Token;24h;0.45560595
Adappter Token;7d;18.10557363
Adappter Token;30d;-15.58840289
Adappter Token;60d;12.00402901
Adappter Token;90d;12.19276217
Alon;1h;-5.88598505
Alon;24h;9.99920386
Alon;7d;40.79564952
Alon;30d;32.58784968
Alon;60d;-89.00147945
Alon;90d;-89.00147945
XSwap;1h;1.87908474
XSwap;24h;4.45356339
XSwap;7d;11.1907847
XSwap;30d;-22.06621886
XSwap;60d;-33.75402149
XSwap;90d;-53.51489265
Venus LTC;1h;-1.1477885
Venus LTC;24h;0.97277117
Venus LTC;7d;1.58986136
Venus LTC;30d;-26.17212008
Venus LTC;60d;-21.97270979
Venus LTC;90d;0.31712545
Divi;1h;-0.56364055
Divi;24h;-0.92576838
Divi;7d;26.16319713
Divi;30d;-2.75203451
Divi;60d;-61.0199196
Divi;90d;73.7795035
MUX Protocol;1h;0.00713007
MUX Protocol;24h;0.01821981
MUX Protocol;7d;-4.25643136
MUX Protocol;30d;-13.09816009
MUX Protocol;60d;-21.50142359
MUX Protocol;90d;-11.52750384
Efinity Token;1h;-0.02360418
Efinity Token;24h;-0.02679966
Efinity Token;7d;0.34541897
Efinity Token;30d;-5.42106362
Efinity Token;60d;-8.55947148
Efinity Token;90d;-8.68418098
Galxe;1h;0.08104242
Galxe;24h;0.1954332
Galxe;7d;3.78318659
Galxe;30d;-26.62408326
Galxe;60d;-42.15649449
Galxe;90d;-43.82918106
DeepBrain Chain;1h;-0.90537525
DeepBrain Chain;24h;3.87981987
DeepBrain Chain;7d;-36.14249525
DeepBrain Chain;30d;-35.18037174
DeepBrain Chain;60d;-28.96492225
DeepBrain Chain;90d;-49.85715054
Origin DeFi Governance;1h;0.0
Origin DeFi Governance;24h;0.0
Origin DeFi Governance;7d;0.0
Origin DeFi Governance;30d;0.0
Origin DeFi Governance;60d;-20.67076782
Origin DeFi Governance;90d;-23.35045203
Yeet;1h;-1.51481884
Yeet;24h;0.18176071
Yeet;7d;-10.67428589
Yeet;30d;-46.56562788
Yeet;60d;-46.56562788
Yeet;90d;-46.56562788
ICB Network;1h;0.07517355
ICB Network;24h;2.07682105
ICB Network;7d;-3.39119073
ICB Network;30d;-37.4727701
ICB Network;60d;-37.98783303
ICB Network;90d;-43.94478147
Shrapnel;1h;-3.15425721
Shrapnel;24h;-11.41731257
Shrapnel;7d;13.87798582
Shrapnel;30d;-24.43979925
Shrapnel;60d;-59.49153009
Shrapnel;90d;-71.74986963
Origin Dollar;1h;-0.12609742
Origin Dollar;24h;-0.14482801
Origin Dollar;7d;-0.33853815
Origin Dollar;30d;-0.39080529
Origin Dollar;60d;-0.42171081
Origin Dollar;90d;-0.54484113
DexCheck AI;1h;-0.07351484
DexCheck AI;24h;0.87704967
DexCheck AI;7d;16.85916165
DexCheck AI;30d;-7.53005109
DexCheck AI;60d;-43.30257811
DexCheck AI;90d;-57.46645869
Æternity;1h;-0.17915903
Æternity;24h;-0.55393514
Æternity;7d;1.9526142
Æternity;30d;-13.68341442
Æternity;60d;-25.58386293
Æternity;90d;-46.02055101
Nexa;1h;0.65297602
Nexa;24h;12.4969734
Nexa;7d;27.69009042
Nexa;30d;9.33847625
Nexa;60d;-25.68396381
Nexa;90d;-42.1720913
Mistery On Cro;1h;-3.96240198
Mistery On Cro;24h;-8.48557617
Mistery On Cro;7d;-14.80184964
Mistery On Cro;30d;58.79959673
Mistery On Cro;60d;-6.80833965
Mistery On Cro;90d;-29.80398013
RyuJin;1h;-1.29768931
RyuJin;24h;-4.6558283
RyuJin;7d;-1.97682285
RyuJin;30d;7.30365599
RyuJin;60d;-14.88540857
RyuJin;90d;-39.48120134
Tectonic;1h;-3.34948806
Tectonic;24h;0.331523
Tectonic;7d;-3.37302683
Tectonic;30d;-14.75688795
Tectonic;60d;-40.92921255
Tectonic;90d;-56.03545627
zkRace;1h;-0.33981807
zkRace;24h;-0.18045291
zkRace;7d;-5.135903
zkRace;30d;-12.41035625
zkRace;60d;-32.87433357
zkRace;90d;-49.25973618
r/CryptoCurrency Moons;1h;-0.70680027
r/CryptoCurrency Moons;24h;1.39128432
r/CryptoCurrency Moons;7d;2.60814551
r/CryptoCurrency Moons;30d;-33.59667134
r/CryptoCurrency Moons;60d;-32.16497068
r/CryptoCurrency Moons;90d;-65.49019906
LayerAI;1h;-2.6466334
LayerAI;24h;-14.6463092
LayerAI;7d;-26.99673381
LayerAI;30d;-24.18213578
LayerAI;60d;-69.45738406
LayerAI;90d;-70.52532239
NuriTopia;1h;0.91255552
NuriTopia;24h;3.48181183
NuriTopia;7d;0.45640963
NuriTopia;30d;50.18185513
NuriTopia;60d;102.57847322
NuriTopia;90d;102.31970458
KAN;1h;-0.08113795
KAN;24h;2.19710417
KAN;7d;17.53809479
KAN;30d;1.96957126
KAN;60d;-3.37965928
KAN;90d;-4.65327897
PAW;1h;-0.5176683
PAW;24h;0.15502774
PAW;7d;-4.54542136
PAW;30d;-43.41821501
PAW;60d;-47.41124448
PAW;90d;-67.74556235
Ethervista;1h;1.40317487
Ethervista;24h;5.27969871
Ethervista;7d;-6.81866818
Ethervista;30d;-48.69211347
Ethervista;60d;-66.34712103
Ethervista;90d;-62.43215438
Everclear;1h;-3.14367343
Everclear;24h;-1.50942012
Everclear;7d;5.19662475
Everclear;30d;-38.90023155
Everclear;60d;-55.02019043
Everclear;90d;-55.02019043
Statter Network;1h;0.7290223
Statter Network;24h;-1.74168717
Statter Network;7d;-17.73478404
Statter Network;30d;-38.63174529
Statter Network;60d;-40.68033169
Statter Network;90d;-52.93035219
Farcana;1h;-2.17269888
Farcana;24h;0.72097275
Farcana;7d;-15.60673928
Farcana;30d;-42.04257718
Farcana;60d;-75.79714764
Farcana;90d;-86.66979686
BizAuto;1h;-0.67655194
BizAuto;24h;9.48675639
BizAuto;7d;58.71676372
BizAuto;30d;-0.5545847
BizAuto;60d;171.01205466
BizAuto;90d;164.99049824
Hege;1h;-0.976701
Hege;24h;2.36266311
Hege;7d;5.14257383
Hege;30d;-16.46372937
Hege;60d;-66.59541708
Hege;90d;-66.37100744
Strawberry AI;1h;0.04726002
Strawberry AI;24h;7.95425353
Strawberry AI;7d;2.82937717
Strawberry AI;30d;-42.74270329
Strawberry AI;60d;-63.91352832
Strawberry AI;90d;-73.54554664
XeniosCoin;1h;0.0
XeniosCoin;24h;0.0
XeniosCoin;7d;0.0
XeniosCoin;30d;0.0
XeniosCoin;60d;0.0
XeniosCoin;90d;4.50729456
FACT0RN;1h;-0.91462411
FACT0RN;24h;0.28574174
FACT0RN;7d;-10.67108458
FACT0RN;30d;-33.87677206
FACT0RN;60d;-36.13927259
FACT0RN;90d;-28.10665727
OpenGPU;1h;-3.07618454
OpenGPU;24h;3.70670976
OpenGPU;7d;37.85971249
OpenGPU;30d;-8.45029202
OpenGPU;60d;-52.34777357
OpenGPU;90d;-78.40120429
Mumu the Bull (SOL);1h;-0.19674315
Mumu the Bull (SOL);24h;10.93707077
Mumu the Bull (SOL);7d;10.4142601
Mumu the Bull (SOL);30d;-0.62451101
Mumu the Bull (SOL);60d;-78.11682898
Mumu the Bull (SOL);90d;-87.62977259
DecideAI;1h;-2.93652786
DecideAI;24h;-2.70380616
DecideAI;7d;15.59763506
DecideAI;30d;4.78660573
DecideAI;60d;-52.00380904
DecideAI;90d;-61.09909253
Graphlinq Chain;1h;-1.45712933
Graphlinq Chain;24h;-0.34459002
Graphlinq Chain;7d;-1.48310585
Graphlinq Chain;30d;-41.89429736
Graphlinq Chain;60d;-58.34949593
Graphlinq Chain;90d;-68.66245865
UFO Gaming;1h;-0.02952948
UFO Gaming;24h;0.97841961
UFO Gaming;7d;6.16112909
UFO Gaming;30d;-28.66101051
UFO Gaming;60d;-44.69590127
UFO Gaming;90d;-56.85461113
Worldwide USD;1h;0.31100512
Worldwide USD;24h;0.30130865
Worldwide USD;7d;0.36626197
Worldwide USD;30d;0.31428928
Worldwide USD;60d;0.48381446
Worldwide USD;90d;0.45193886
Venus DAI;1h;-0.00947929
Venus DAI;24h;-0.01745144
Venus DAI;7d;0.07059035
Venus DAI;30d;0.45633674
Venus DAI;60d;1.17394717
Venus DAI;90d;2.04540339
Tarot;1h;-0.4129457
Tarot;24h;3.60155572
Tarot;7d;6.77987859
Tarot;30d;-13.52169719
Tarot;60d;-35.68599955
Tarot;90d;-53.95947913
UNCX Network;1h;-0.00036389
UNCX Network;24h;7.79012638
UNCX Network;7d;7.80095081
UNCX Network;30d;-29.20227022
UNCX Network;60d;-48.49604748
UNCX Network;90d;-41.57845909
LinqAI;1h;-0.5138994
LinqAI;24h;3.61931005
LinqAI;7d;-0.0656723
LinqAI;30d;-22.03156878
LinqAI;60d;-67.88943351
LinqAI;90d;-72.16654778
Sentinel;1h;-1.13173418
Sentinel;24h;4.71628335
Sentinel;7d;-1.3059414
Sentinel;30d;-30.29667208
Sentinel;60d;-47.63302082
Sentinel;90d;-56.96284122
Stake DAO;1h;0.0
Stake DAO;24h;3.044641
Stake DAO;7d;3.99895344
Stake DAO;30d;-19.78646976
Stake DAO;60d;-50.09521822
Stake DAO;90d;-49.99768988
Openfabric AI;1h;-1.69888272
Openfabric AI;24h;54.97248157
Openfabric AI;7d;54.18319362
Openfabric AI;30d;-10.45037815
Openfabric AI;60d;-54.28798119
Openfabric AI;90d;-49.1022578
Smog;1h;-0.80075136
Smog;24h;3.58732796
Smog;7d;4.64767108
Smog;30d;-25.52803672
Smog;60d;-58.04691073
Smog;90d;-48.94771226
Slothana;1h;-1.42332833
Slothana;24h;5.14325489
Slothana;7d;42.40960802
Slothana;30d;57.11607681
Slothana;60d;-11.3978979
Slothana;90d;14.89034724
Katana Inu;1h;-0.05946751
Katana Inu;24h;1.52985523
Katana Inu;7d;20.16154082
Katana Inu;30d;-19.80674724
Katana Inu;60d;-57.37083291
Katana Inu;90d;-67.66505149
Aerobud;1h;-2.11018974
Aerobud;24h;5.98374729
Aerobud;7d;5.04002949
Aerobud;30d;-49.93578712
Aerobud;60d;-54.18363499
Aerobud;90d;-76.19134567
Nestree;1h;0.22909505
Nestree;24h;0.68150041
Nestree;7d;6.15784143
Nestree;30d;-17.94741402
Nestree;60d;-27.30201301
Nestree;90d;-23.42395267
Patriot;1h;-1.72154938
Patriot;24h;-3.18390798
Patriot;7d;15.54504263
Patriot;30d;-1.42615324
Patriot;60d;-82.75867667
Patriot;90d;-88.24066868
Scallop;1h;-1.7518095
Scallop;24h;0.86322724
Scallop;7d;10.09488875
Scallop;30d;-28.23983181
Scallop;60d;-67.12113916
Scallop;90d;-72.32908253
Non-Playable Coin Solana;1h;-0.26174455
Non-Playable Coin Solana;24h;-0.06239689
Non-Playable Coin Solana;7d;-13.99011591
Non-Playable Coin Solana;30d;-22.41132421
Non-Playable Coin Solana;60d;-7.69411387
Non-Playable Coin Solana;90d;-53.26984367
Kendu;1h;-0.33742985
Kendu;24h;5.39729097
Kendu;7d;-1.5910463
Kendu;30d;-32.22625556
Kendu;60d;-43.91639505
Kendu;90d;-77.09493371
HELLO Labs;1h;-0.42769484
HELLO Labs;24h;1.60755294
HELLO Labs;7d;-1.83059535
HELLO Labs;30d;-26.71613715
HELLO Labs;60d;-47.28759526
HELLO Labs;90d;-59.58377967
Electric Vehicle Zone;1h;-0.03902761
Electric Vehicle Zone;24h;2.0792267
Electric Vehicle Zone;7d;2.91342178
Electric Vehicle Zone;30d;-28.2007463
Electric Vehicle Zone;60d;-36.68241543
Electric Vehicle Zone;90d;-39.92397342
Hatom;1h;-2.2036773
Hatom;24h;-3.9818346
Hatom;7d;-4.59945666
Hatom;30d;-19.83613047
Hatom;60d;-56.39580325
Hatom;90d;-52.46897729
NFT Worlds;1h;-0.0945959
NFT Worlds;24h;2.15205726
NFT Worlds;7d;-5.43672772
NFT Worlds;30d;-17.49036464
NFT Worlds;60d;-46.86919994
NFT Worlds;90d;-35.71142203
fanC;1h;-0.15268861
fanC;24h;-2.1901924
fanC;7d;59.74722052
fanC;30d;9.96009697
fanC;60d;-10.1702906
fanC;90d;-15.59320198
Laqira Protocol;1h;-0.17255723
Laqira Protocol;24h;-0.44063557
Laqira Protocol;7d;-0.28150536
Laqira Protocol;30d;-8.95702153
Laqira Protocol;60d;-45.83214635
Laqira Protocol;90d;-37.36561302
Atlas Navi;1h;-0.49472597
Atlas Navi;24h;29.50888185
Atlas Navi;7d;42.82665702
Atlas Navi;30d;-7.45508072
Atlas Navi;60d;-58.69216908
Atlas Navi;90d;-75.2534413
Polaris Share;1h;-0.88655006
Polaris Share;24h;2.4047774
Polaris Share;7d;12.63075006
Polaris Share;30d;-36.26537358
Polaris Share;60d;-40.62684506
Polaris Share;90d;-35.48413528
Valor Token;1h;6.08146908
Valor Token;24h;15.75600191
Valor Token;7d;2.19448839
Valor Token;30d;66.35512614
Valor Token;60d;14.17383434
Valor Token;90d;28.18387182
ApexToken;1h;3.69982309
ApexToken;24h;22.48729889
ApexToken;7d;-21.61052891
ApexToken;30d;-47.5986686
ApexToken;60d;-58.1319671
ApexToken;90d;-59.564778
AC Milan Fan Token;1h;-0.33040666
AC Milan Fan Token;24h;0.4420365
AC Milan Fan Token;7d;0.73723481
AC Milan Fan Token;30d;-25.25157181
AC Milan Fan Token;60d;-33.15508754
AC Milan Fan Token;90d;-35.14979916
Pandora;1h;-0.68952217
Pandora;24h;2.7955287
Pandora;7d;9.75691514
Pandora;30d;-32.60037707
Pandora;60d;-53.7067077
Pandora;90d;-64.38413578
KLAYswap Protocol;1h;-0.83749533
KLAYswap Protocol;24h;0.18085429
KLAYswap Protocol;7d;-1.21638668
KLAYswap Protocol;30d;-22.42505912
KLAYswap Protocol;60d;-47.92750577
KLAYswap Protocol;90d;-43.96847872
Emirex Token;1h;-0.03009511
Emirex Token;24h;-0.01388031
Emirex Token;7d;-0.00179418
Emirex Token;30d;-0.00374386
Emirex Token;60d;0.1492706
Emirex Token;90d;0.10773189
LATOKEN;1h;-3.13527054
LATOKEN;24h;4.39683283
LATOKEN;7d;18.3208056
LATOKEN;30d;6.20753574
LATOKEN;60d;-34.91652371
LATOKEN;90d;-38.37712613
SwissCheese;1h;0.73524217
SwissCheese;24h;-4.10419888
SwissCheese;7d;10.90315796
SwissCheese;30d;-9.89398865
SwissCheese;60d;-29.22386861
SwissCheese;90d;-44.22501319
FEED EVERY GORILLA;1h;0.01566615
FEED EVERY GORILLA;24h;-0.59509346
FEED EVERY GORILLA;7d;-7.77058966
FEED EVERY GORILLA;30d;-30.1221772
FEED EVERY GORILLA;60d;91097.32523184
FEED EVERY GORILLA;90d;-70.15547685
StablR USD;1h;0.09782876
StablR USD;24h;0.1599054
StablR USD;7d;0.1267678
StablR USD;30d;-0.1777655
StablR USD;60d;-0.0354915
StablR USD;90d;-0.0354915
DeFi Kingdoms;1h;0.0
DeFi Kingdoms;24h;0.0
DeFi Kingdoms;7d;0.87716909
DeFi Kingdoms;30d;-15.68214137
DeFi Kingdoms;60d;-40.62938551
DeFi Kingdoms;90d;-54.17340711
Abelian;1h;-1.849e-05
Abelian;24h;-0.01299238
Abelian;7d;88.6171172
Abelian;30d;-3.36874615
Abelian;60d;64.95949422
Abelian;90d;12.1278486
Inter Milan Fan Token;1h;-0.49772018
Inter Milan Fan Token;24h;2.4378214
Inter Milan Fan Token;7d;3.81114442
Inter Milan Fan Token;30d;-10.21692874
Inter Milan Fan Token;60d;-30.48072503
Inter Milan Fan Token;90d;-31.10425686
SingularityDAO;1h;-1.68909286
SingularityDAO;24h;0.71524263
SingularityDAO;7d;15.19847089
SingularityDAO;30d;-39.17030587
SingularityDAO;60d;-63.44992805
SingularityDAO;90d;-69.33028508
ParagonsDAO;1h;0.0
ParagonsDAO;24h;2.29730234
ParagonsDAO;7d;17.12692669
ParagonsDAO;30d;-37.39501034
ParagonsDAO;60d;-53.12278972
ParagonsDAO;90d;-36.14621738
Epic Cash;1h;-0.32364483
Epic Cash;24h;-11.92800896
Epic Cash;7d;-16.00685231
Epic Cash;30d;-39.24635737
Epic Cash;60d;-42.58752382
Epic Cash;90d;-54.63285888
GATSBY (gatsby.fi);1h;0.0
GATSBY (gatsby.fi);24h;-5.54269195
GATSBY (gatsby.fi);7d;-19.55915767
GATSBY (gatsby.fi);30d;-62.58621181
GATSBY (gatsby.fi);60d;-84.25186798
GATSBY (gatsby.fi);90d;-34.72750584
Dingocoin;1h;-0.16076353
Dingocoin;24h;5.2885529
Dingocoin;7d;-11.38429214
Dingocoin;30d;56.7641123
Dingocoin;60d;13.57556523
Dingocoin;90d;-21.37500917
AstraAI;1h;0.0
AstraAI;24h;-10.04575515
AstraAI;7d;26.89362723
AstraAI;30d;-49.83808308
AstraAI;60d;-68.7797095
AstraAI;90d;-73.24694974
Vyvo Coin;1h;-0.01933535
Vyvo Coin;24h;1.31051864
Vyvo Coin;7d;-3.94960005
Vyvo Coin;30d;-27.75078125
Vyvo Coin;60d;-34.58572324
Vyvo Coin;90d;-45.20030782
GALAXIA;1h;1.98750674
GALAXIA;24h;-1.13874259
GALAXIA;7d;-6.5326009
GALAXIA;30d;-42.5529008
GALAXIA;60d;-44.54401979
GALAXIA;90d;-8.35849934
Router Protocol (New);1h;0.04187878
Router Protocol (New);24h;0.6223558
Router Protocol (New);7d;7.88115312
Router Protocol (New);30d;-10.48179976
Router Protocol (New);60d;-55.47461476
Router Protocol (New);90d;-61.78346635
dHedge DAO;1h;-0.23162081
dHedge DAO;24h;1.19107899
dHedge DAO;7d;5.53601046
dHedge DAO;30d;-20.217354
dHedge DAO;60d;1.65985031
dHedge DAO;90d;17.03673713
Micro GPT;1h;-0.9861141
Micro GPT;24h;-3.1126906
Micro GPT;7d;-1.22651594
Micro GPT;30d;12.21950367
Micro GPT;60d;-58.1417853
Micro GPT;90d;22.03423817
TEMCO;1h;-1.46044746
TEMCO;24h;0.5430944
TEMCO;7d;6.89473852
TEMCO;30d;-15.86998189
TEMCO;60d;-4.3853513
TEMCO;90d;2.49590676
DeFiChain;1h;-0.20966168
DeFiChain;24h;1.36250886
DeFiChain;7d;6.10825198
DeFiChain;30d;-38.8297333
DeFiChain;60d;-59.50329278
DeFiChain;90d;-74.12750692
Rainbow Token;1h;0.0
Rainbow Token;24h;-0.00260662
Rainbow Token;7d;0.01977792
Rainbow Token;30d;-0.01162199
Rainbow Token;60d;0.16007246
Rainbow Token;90d;0.14950857
OVR;1h;-0.74146223
OVR;24h;0.8270385
OVR;7d;1.03096877
OVR;30d;-25.55541191
OVR;60d;-58.65057397
OVR;90d;-59.07009078
Populous;1h;0.0
Populous;24h;11.36042506
Populous;7d;-3.81714468
Populous;30d;109.54451327
Populous;60d;49.82955757
Populous;90d;29.90097877
Cipher;1h;0.13307145
Cipher;24h;2.99242292
Cipher;7d;1.58074666
Cipher;30d;23.24846317
Cipher;60d;45.98552574
Cipher;90d;239.91756797
Bitcoin Diamond;1h;1.07667816
Bitcoin Diamond;24h;2.90617245
Bitcoin Diamond;7d;2.6393905
Bitcoin Diamond;30d;-35.80707937
Bitcoin Diamond;60d;-41.27944363
Bitcoin Diamond;90d;-44.32995619
CateCoin;1h;1.22182424
CateCoin;24h;2.99094763
CateCoin;7d;12.25087689
CateCoin;30d;-17.05412803
CateCoin;60d;-37.72234213
CateCoin;90d;-51.04200909
Coupon Assets;1h;0.11202326
Coupon Assets;24h;-2.6383605
Coupon Assets;7d;-2.58914504
Coupon Assets;30d;-5.52938293
Coupon Assets;60d;-42.52918497
Coupon Assets;90d;-41.87924944
Jesus Coin;1h;-1.16242145
Jesus Coin;24h;6.26344622
Jesus Coin;7d;24.21633882
Jesus Coin;30d;-18.53032942
Jesus Coin;60d;-38.83857796
Jesus Coin;90d;-56.20298886
Metahero;1h;0.2156974
Metahero;24h;2.11856016
Metahero;7d;8.16962327
Metahero;30d;-12.99025079
Metahero;60d;-23.54769052
Metahero;90d;-26.6896579
MAX;1h;-2.10916492
MAX;24h;4.71469849
MAX;7d;-8.57155403
MAX;30d;-42.24314787
MAX;60d;-95.00426423
MAX;90d;-95.00426423
PUPS (Ordinals) [Old];1h;0.0
PUPS (Ordinals) [Old];24h;0.0
PUPS (Ordinals) [Old];7d;0.0
PUPS (Ordinals) [Old];30d;26.38450646
PUPS (Ordinals) [Old];60d;-30.99473356
PUPS (Ordinals) [Old];90d;-61.69993929
Arianee;1h;0.0
Arianee;24h;2.03641157
Arianee;7d;3.4726952
Arianee;30d;-23.04158295
Arianee;60d;-41.61973355
Arianee;90d;-48.35864277
Rally;1h;-0.5049325
Rally;24h;-0.12210536
Rally;7d;-8.886487
Rally;30d;-31.28521701
Rally;60d;-45.07352763
Rally;90d;-43.85459845
XRP Healthcare;1h;-3.33151299
XRP Healthcare;24h;-4.92580523
