name;percent_change;values
NEAR Protocol;1h;-1.50739279
NEAR Protocol;24h;2.98642499
NEAR Protocol;7d;3.43852017
NEAR Protocol;30d;-15.28675068
NEAR Protocol;60d;-47.00888148
NEAR Protocol;90d;-42.63307837
Pepe;1h;-3.837095563333333
Pepe;24h;15.988701883333333
Pepe;7d;14.373403823333335
Pepe;30d;-16.247284566666664
Pepe;60d;-54.83531106666667
Pepe;90d;-55.94528041
OKB;1h;-0.71587173
OKB;24h;-2.15627618
OKB;7d;22.33138234
OKB;30d;4.13891905
OKB;60d;-8.34695155
OKB;90d;19.26440283
Internet Computer;1h;-1.52989313
Internet Computer;24h;-1.04500365
Internet Computer;7d;4.86787945
Internet Computer;30d;-14.66328254
Internet Computer;60d;-42.59028946
Internet Computer;90d;-37.66452554
Ondo;1h;-1.55647914
Ondo;24h;1.40468459
Ondo;7d;-0.30696062
Ondo;30d;-27.56802952
Ondo;60d;-38.84578136
Ondo;90d;-44.28706901
Ethereum Classic;1h;-1.32336487
Ethereum Classic;24h;-1.22758817
Ethereum Classic;7d;0.71118809
Ethereum Classic;30d;-11.33238163
Ethereum Classic;60d;-30.1478583
Ethereum Classic;90d;-27.01002987
Mantle;1h;-0.56140826
Mantle;24h;-0.06417044
Mantle;7d;7.11808184
Mantle;30d;-26.99539021
Mantle;60d;-21.0973597
Mantle;90d;-23.73799502
Aave;1h;-1.91365574
Aave;24h;0.26091787
Aave;7d;0.69310531
Aave;30d;-32.41365056
Aave;60d;-42.18345911
Aave;90d;-39.0790135
OFFICIAL TRUMP;1h;-1.79701658
OFFICIAL TRUMP;24h;0.90962794
OFFICIAL TRUMP;7d;4.33210032
OFFICIAL TRUMP;30d;-32.19603786
OFFICIAL TRUMP;60d;-82.93899516
OFFICIAL TRUMP;90d;72.79179536
VeChain;1h;-1.44594331
VeChain;24h;0.99510691
VeChain;7d;7.22725176
VeChain;30d;-18.70969543
VeChain;60d;-46.64894984
VeChain;90d;-35.46112946
Bittensor;1h;-2.20434558
Bittensor;24h;2.22854038
Bittensor;7d;0.87359638
Bittensor;30d;-29.23867969
Bittensor;60d;-40.12260688
Bittensor;90d;-37.52488342
First Digital USD;1h;0.07672954
First Digital USD;24h;0.11143541
First Digital USD;7d;0.16328601
First Digital USD;30d;0.10559294
First Digital USD;60d;0.28482403
First Digital USD;90d;0.22599762
Cronos;1h;-3.05918284
Cronos;24h;1.03778889
Cronos;7d;-4.40134058
Cronos;30d;-7.24019648
Cronos;60d;-35.60658649
Cronos;90d;-46.72680255
Kaspa;1h;-2.06893903
